City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yambio,SS,2021-01-16 00:49:43,4.5721,28.3955,69.42,60,100,4.12
68,Gornopravdinsk,RU,2021-01-16 00:49:43,60.05,69.9,9.41,95,100,6.35
69,New Norfolk,AU,2021-01-16 00:49:43,-42.7826,147.0587,61.0,57,76,4.0
70,Vaini,TO,2021-01-16 00:49:43,-21.2,-175.2,86.0,74,40,11.5
71,Bathsheba,BB,2021-01-16 00:49:43,13.2167,-59.5167,78.8,65,20,19.57
72,Sai Buri,TH,2021-01-16 00:49:44,6.7013,101.6168,75.2,88,40,3.44
73,Huejuquilla El Alto,MX,2021-01-16 00:49:44,22.6,-103.8667,53.42,36,70,1.41
74,Mapiripan,CO,2021-01-16 00:49:44,2.8892,-72.1256,76.66,76,72,4.79
75,Clyde River,CA,2021-01-16 00:49:44,70.4692,-68.5914,-0.4,92,90,2.3
76,Fort-Shevchenko,KZ,2021-01-16 00:49:44,44.5086,50.263,35.13,87,5,17.0
77,Lata,PT,2021-01-16 00:49:44,40.1629,-8.3327,39.99,93,40,1.14
78,Dikson,RU,2021-01-16 00:49:44,73.5069,80.5464,-32.49,79,88,4.54
79,Umm Lajj,SA,2021-01-16 00:49:44,25.0213,37.2685,65.75,55,0,6.15
80,Olga,RU,2021-01-16 00:49:44,43.7444,135.2892,10.67,84,100,12.88
81,Homer,US,2021-01-16 00:49:44,59.6425,-151.5483,36.0,80,1,6.91
82,Varhaug,NO,2021-01-16 00:49:44,58.6147,5.6457,23.0,79,0,3.44
83,Quatre Cocos,MU,2021-01-16 00:49:44,-20.2078,57.7625,80.01,94,40,4.61
84,Ojinaga,MX,2021-01-16 00:49:44,29.5667,-104.4167,59.0,23,1,4.61
85,Santa Rosa,PH,2021-01-16 00:49:44,14.3122,121.1114,82.0,74,20,3.44
86,Poum,NC,2021-01-16 00:49:44,-20.2333,164.0167,81.45,81,99,14.79
87,Chokurdakh,RU,2021-01-16 00:49:44,70.6333,147.9167,-5.08,91,100,11.39
88,Avarua,CK,2021-01-16 00:49:44,-21.2078,-159.775,86.0,70,20,10.36
89,Inuvik,CA,2021-01-16 00:49:44,68.3499,-133.7218,-9.4,84,100,9.22
90,Formosa,AR,2021-01-16 00:49:45,-26.1775,-58.1781,86.0,79,0,4.61
91,Qaanaaq,GL,2021-01-16 00:49:45,77.484,-69.3632,9.77,92,99,2.33
92,Sao Filipe,CV,2021-01-16 00:49:45,14.8961,-24.4956,72.54,70,100,13.2
93,Okhotsk,RU,2021-01-16 00:49:45,59.3833,143.3,-15.14,85,100,10.33
94,Lebu,CL,2021-01-16 00:49:45,-37.6167,-73.65,56.7,78,0,15.17
95,Cape Town,ZA,2021-01-16 00:49:45,-33.9258,18.4232,66.0,94,75,10.36
96,Lewisburg,US,2021-01-16 00:49:45,35.4492,-86.7889,41.0,48,90,10.36
97,Jamestown,US,2021-01-16 00:49:45,42.097,-79.2353,37.0,100,90,8.05
98,Benjamin Constant,BR,2021-01-16 00:49:45,-4.3831,-70.0311,80.6,83,0,2.3
99,Old Saybrook,US,2021-01-16 00:49:45,41.2918,-72.3762,43.0,75,90,11.5
100,Hermanus,ZA,2021-01-16 00:49:45,-34.4187,19.2345,57.99,91,3,10.96
101,Saravan,AM,2021-01-16 00:49:45,39.7196,45.6483,33.8,75,40,9.22
102,Port Blair,IN,2021-01-16 00:49:45,11.6667,92.75,77.22,77,13,9.93
103,Udachnyy,RU,2021-01-16 00:49:45,66.4167,112.4,-45.76,75,74,6.04
104,Bengkulu,ID,2021-01-16 00:49:45,-3.8004,102.2655,77.92,75,93,3.8
105,Kjopsvik,NO,2021-01-16 00:49:46,68.097,16.3742,37.0,93,90,2.3
106,Baghdad,IQ,2021-01-16 00:47:33,33.3406,44.4009,44.6,100,0,3.44
107,Napanee,CA,2021-01-16 00:45:07,44.2501,-76.9494,37.4,75,90,9.22
108,East London,ZA,2021-01-16 00:49:46,-33.0153,27.9116,71.4,77,95,18.75
109,Anamur,TR,2021-01-16 00:49:46,36.0751,32.8369,53.6,94,75,3.44
110,Chuy,UY,2021-01-16 00:49:46,-33.6971,-53.4616,72.54,84,100,13.47
111,Tasiilaq,GL,2021-01-16 00:49:46,65.6145,-37.6368,32.0,93,90,9.22
112,Santa Maria Del Oro,MX,2021-01-16 00:49:46,25.9333,-105.3667,54.97,35,0,6.2
113,Bemidji,US,2021-01-16 00:49:46,47.4736,-94.8803,25.0,100,90,17.27
114,Moerai,PF,2021-01-16 00:49:46,-22.4333,-151.3333,80.06,70,43,10.18
115,Ogaminana,NG,2021-01-16 00:49:46,7.5946,6.2248,77.02,71,0,6.17
116,Constitucion,CL,2021-01-16 00:49:46,-35.3333,-72.4167,56.41,73,0,18.34
117,Salinopolis,BR,2021-01-16 00:49:46,-0.6136,-47.3561,78.87,79,6,11.18
118,Sistranda,NO,2021-01-16 00:49:46,63.7256,8.834,28.4,80,75,14.97
119,Beaverlodge,CA,2021-01-16 00:49:46,55.2166,-119.4361,39.2,56,20,28.77
120,Alappuzha,IN,2021-01-16 00:49:46,9.49,76.3264,76.42,87,0,7.07
121,Suzhou,CN,2021-01-16 00:49:46,31.3114,120.6181,41.0,62,69,11.32
122,Norman Wells,CA,2021-01-16 00:49:46,65.282,-126.8329,3.2,92,90,2.3
123,Mahebourg,MU,2021-01-16 00:49:46,-20.4081,57.7,78.8,94,40,4.61
124,Pacific Grove,US,2021-01-16 00:49:47,36.6177,-121.9166,66.2,52,1,6.22
125,Hovd,MN,2021-01-16 00:49:47,48.0056,91.6419,-5.28,71,0,0.22
126,Lincolnton,US,2021-01-16 00:49:47,35.4737,-81.2545,37.99,100,90,9.13
127,Thompson,CA,2021-01-16 00:49:47,55.7435,-97.8558,5.0,85,75,5.75
128,Nanortalik,GL,2021-01-16 00:49:47,60.1432,-45.2371,25.9,94,99,9.37
129,Palmer,US,2021-01-16 00:49:47,42.1584,-72.3287,39.99,70,90,11.5
130,Cobh,IE,2021-01-16 00:49:47,51.8572,-8.2992,51.01,100,75,23.02
131,Ribeira Grande,PT,2021-01-16 00:49:47,38.5167,-28.7,61.2,85,15,8.46
132,Nouakchott,MR,2021-01-16 00:49:47,18.0858,-15.9785,68.0,14,0,8.05
133,Bosaso,SO,2021-01-16 00:49:47,11.2842,49.1816,72.19,75,0,1.23
134,Esperance,AU,2021-01-16 00:49:47,-33.8667,121.9,62.6,51,90,12.66
135,Waddan,LY,2021-01-16 00:49:47,29.1614,16.139,48.4,51,0,6.85
136,Gat,IL,2021-01-16 00:49:08,31.61,34.7642,52.0,85,0,6.35
137,Foix,FR,2021-01-16 00:49:47,42.8333,1.5833,37.0,56,100,5.35
138,Ndele,CF,2021-01-16 00:49:47,8.4109,20.6473,69.58,25,2,4.88
139,Ahipara,NZ,2021-01-16 00:49:47,-35.1667,173.1667,72.1,51,31,6.4
140,Amherst,US,2021-01-16 00:49:47,41.3978,-82.2224,35.01,80,1,5.75
141,Brae,GB,2021-01-16 00:49:48,60.3964,-1.353,42.8,75,75,28.77
142,Cockburn Town,TC,2021-01-16 00:49:48,21.4612,-71.1419,78.06,81,100,10.56
143,Novopokrovka,UA,2021-01-16 00:49:48,49.8425,36.5477,10.4,85,75,15.66
144,Mayumba,GA,2021-01-16 00:49:48,-3.432,10.6554,76.91,86,62,6.87
145,Rotifunk,SL,2021-01-16 00:49:48,8.2333,-12.6833,72.99,93,99,1.63
146,Bonavista,CA,2021-01-16 00:49:48,48.6499,-53.1147,32.0,86,100,8.05
147,Neftcala,AZ,2021-01-16 00:49:48,39.3742,49.2472,48.09,83,0,11.74
148,Kodiak,US,2021-01-16 00:47:34,57.79,-152.4072,35.6,93,90,2.48
149,Arraial Do Cabo,BR,2021-01-16 00:49:48,-22.9661,-42.0278,76.01,89,6,20.51
150,Lagoa,PT,2021-01-16 00:49:48,39.05,-27.9833,60.42,89,16,13.62
151,Mount Darwin,ZW,2021-01-16 00:49:48,-16.7725,31.5838,67.55,94,100,2.51
152,Cap Malheureux,MU,2021-01-16 00:49:48,-19.9842,57.6142,80.01,84,95,5.99
153,Skoghall,SE,2021-01-16 00:49:48,59.3232,13.4655,10.4,92,0,6.91
154,Salalah,OM,2021-01-16 00:49:48,17.0151,54.0924,73.4,18,0,13.8
155,Wahpeton,US,2021-01-16 00:49:48,46.2652,-96.6059,19.99,93,90,21.85
156,Lima,PE,2021-01-16 00:49:06,-12.0432,-77.0282,69.8,83,0,11.5
157,Korla,CN,2021-01-16 00:49:48,41.7597,86.1469,15.46,82,0,1.41
158,Azul,AR,2021-01-16 00:49:49,-36.777,-59.8585,74.44,61,0,3.69
159,Douglas,US,2021-01-16 00:49:49,41.3,-96.167,32.0,86,90,24.16
160,Biharamulo,TZ,2021-01-16 00:49:49,-2.6319,31.3089,59.43,100,14,4.79
161,Faya,SA,2021-01-16 00:49:49,18.3851,42.4509,50.0,71,0,4.61
162,Vila Velha,BR,2021-01-16 00:49:49,-20.3297,-40.2925,77.0,88,40,2.3
163,Santiago Del Estero,AR,2021-01-16 00:49:49,-27.7951,-64.2615,88.23,54,100,5.53
164,Deputatskiy,RU,2021-01-16 00:49:49,69.3,139.9,-20.45,89,100,1.88
165,Nantucket,US,2021-01-16 00:49:19,41.2835,-70.0995,39.99,75,1,4.61
166,Mount Isa,AU,2021-01-16 00:49:49,-20.7333,139.5,95.0,20,4,12.66
167,Klaksvik,FO,2021-01-16 00:49:49,62.2266,-6.589,41.0,87,75,33.38
168,Sao Joao Da Barra,BR,2021-01-16 00:49:49,-21.6403,-41.0511,76.06,88,9,13.91
169,Kemijarvi,FI,2021-01-16 00:49:49,66.7131,27.4306,22.84,98,86,4.41
170,Mar Del Plata,AR,2021-01-16 00:48:16,-38.0023,-57.5575,71.6,78,0,6.91
171,Puerto Del Rosario,ES,2021-01-16 00:49:49,28.5004,-13.8627,62.6,59,75,19.57
172,Damghan,IR,2021-01-16 00:49:49,36.1683,54.348,38.1,63,0,1.14
173,Tuktoyaktuk,CA,2021-01-16 00:49:49,69.4541,-133.0374,-14.8,84,75,18.41
174,Sindor,RU,2021-01-16 00:49:49,62.8629,51.8905,-2.24,93,99,3.29
175,Elizabeth City,US,2021-01-16 00:49:49,36.2946,-76.2511,55.0,76,1,4.61
176,Coron,PH,2021-01-16 00:49:49,11.9986,120.2043,82.74,74,8,2.17
177,Garissa,KE,2021-01-16 00:49:49,-0.4536,39.6401,75.78,77,4,8.25
178,Padang,ID,2021-01-16 00:49:49,-0.9492,100.3543,79.29,62,59,3.06
179,Saldanha,ZA,2021-01-16 00:49:49,-33.0117,17.9442,62.6,88,0,3.44
180,Bundaberg,AU,2021-01-16 00:49:50,-24.85,152.35,87.01,54,0,4.61
181,San Luis,AR,2021-01-16 00:49:50,-33.295,-66.3356,78.58,51,29,10.0
182,Tezu,IN,2021-01-16 00:49:50,27.9167,96.1667,60.22,48,26,2.95
183,Cabo San Lucas,MX,2021-01-16 00:49:50,22.8909,-109.9124,77.0,22,1,5.75
184,Estelle,US,2021-01-16 00:49:50,29.8458,-90.1067,54.0,32,1,10.36
