City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bengkulu,ID,-3.8004,102.2655,76.62,82,96,4.34,overcast clouds
81,Hithadhoo,MV,-0.6,73.0833,81.57,71,86,4.92,overcast clouds
82,Thompson,CA,55.7435,-97.8558,-14.8,76,75,4.61,broken clouds
83,Svetlyy,RU,54.675,20.1347,10.4,79,90,4.47,overcast clouds
84,Bambanglipuro,ID,-7.95,110.2833,76.66,83,99,4.85,overcast clouds
85,Dingle,PH,10.9995,122.6711,75.34,90,100,7.81,light rain
86,Mabaruma,GY,8.2,-59.7833,79.39,86,20,6.82,few clouds
87,Faanui,PF,-16.4833,-151.75,81.05,77,9,15.35,clear sky
88,Kaitangata,NZ,-46.2817,169.8464,50.0,66,71,5.99,broken clouds
89,Vila,PT,42.0304,-8.1588,52.0,67,13,10.0,few clouds
90,Lagoa,PT,39.05,-27.9833,61.79,89,100,32.75,light rain
91,Barrow,US,71.2906,-156.7887,-0.4,71,90,16.11,overcast clouds
92,Tiksi,RU,71.6872,128.8694,-19.14,88,100,8.28,overcast clouds
93,Lebu,CL,-37.6167,-73.65,61.88,68,0,21.41,clear sky
94,Jamestown,US,42.097,-79.2353,35.01,93,90,9.22,mist
95,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,23.02,light rain
96,Volsk,RU,52.0333,47.3833,-4.99,89,58,2.06,broken clouds
97,Vila Velha,BR,-20.3297,-40.2925,88.0,58,20,17.27,few clouds
98,East Grinstead,GB,51.1238,-0.0061,42.01,75,0,5.75,clear sky
99,Maiduguri,NG,11.8464,13.1603,76.75,18,55,10.83,broken clouds
100,Dunedin,NZ,-45.8742,170.5036,53.01,79,94,14.72,overcast clouds
101,Sinnamary,GF,5.3833,-52.95,80.62,79,86,13.29,overcast clouds
102,Aklavik,CA,68.2191,-135.0107,-16.6,76,75,2.3,broken clouds
103,Amapa,BR,1.0,-52.0,82.78,81,26,2.46,scattered clouds
104,Lanigan,CA,51.8501,-105.0344,15.8,86,100,3.44,overcast clouds
105,Port Hedland,AU,-20.3167,118.5667,86.0,70,73,5.75,broken clouds
106,Nanortalik,GL,60.1432,-45.2371,29.89,96,100,3.18,overcast clouds
107,Maragogi,BR,-9.0122,-35.2225,82.26,67,1,13.31,clear sky
108,Dong Hoi,VN,17.4833,106.6,61.05,84,96,22.68,overcast clouds
109,Kirkwall,GB,58.9848,-2.9587,41.0,87,40,20.71,scattered clouds
110,Komsomolskiy,UZ,40.4272,71.7189,37.4,65,77,4.61,mist
111,Almoloya,MX,19.7,-98.4,62.6,59,40,4.83,scattered clouds
112,Noumea,NC,-22.2763,166.4572,80.01,100,0,2.3,clear sky
113,Berlevag,NO,70.8578,29.0864,37.4,93,75,21.85,broken clouds
114,Ratnagiri,IN,16.9833,73.3,77.61,71,0,7.63,clear sky
115,Calabar,NG,4.9517,8.322,81.27,73,51,7.87,broken clouds
116,Namie,JP,37.4833,141.0,27.0,87,22,4.05,few clouds
117,Hilton Head Island,US,32.2163,-80.7526,55.0,43,1,8.05,clear sky
118,Bredasdorp,ZA,-34.5322,20.0403,71.6,68,10,13.8,clear sky
119,Kaeo,NZ,-35.1,173.7833,60.01,94,9,3.0,clear sky
120,Beringovskiy,RU,63.05,179.3167,-11.47,88,88,9.17,overcast clouds
121,Nishihara,JP,26.1842,127.7558,59.0,54,75,13.8,broken clouds
122,Souillac,MU,-20.5167,57.5167,80.6,83,40,11.5,scattered clouds
123,Lake Charles,US,30.2131,-93.2044,66.2,27,1,9.22,clear sky
124,Kampong Cham,KH,11.9934,105.4635,70.38,59,17,12.97,few clouds
125,Lompoc,US,34.6391,-120.4579,68.0,47,0,8.05,clear sky
126,Kahului,US,20.8947,-156.47,71.6,83,40,6.91,scattered clouds
127,Mayya,RU,61.7333,130.2811,-52.6,58,100,4.23,fog
128,Cherskiy,RU,68.75,161.3,-27.85,84,100,2.37,overcast clouds
129,Sukhumi,GE,43.0033,41.0153,46.08,89,100,14.85,light rain
130,Severo-Kurilsk,RU,50.6789,156.125,22.3,90,94,37.58,overcast clouds
131,Antalaha,MG,-14.9003,50.2788,78.76,86,5,4.88,light rain
132,Quatre Cocos,MU,-20.2078,57.7625,81.0,83,40,11.5,scattered clouds
133,Touros,BR,-5.1989,-35.4608,86.0,62,40,20.71,scattered clouds
134,Bakchar,RU,57.0186,82.0711,13.57,94,100,11.79,overcast clouds
135,Khatanga,RU,71.9667,102.5,-24.3,81,0,13.09,clear sky
136,Mitsamiouli,KM,-11.3847,43.2844,81.88,76,3,8.3,clear sky
137,Iralaya,HN,15.0,-83.2333,80.94,79,100,9.75,overcast clouds
138,Taytay,PH,14.5678,121.1394,78.8,73,75,4.61,moderate rain
139,Mamallapuram,IN,12.6264,80.1722,77.0,73,40,2.3,mist
140,Florianopolis,BR,-27.6146,-48.5012,89.6,62,20,11.5,few clouds
141,Matara,LK,5.9485,80.5353,76.69,87,81,3.22,broken clouds
142,Victoria,HK,22.2855,114.1577,57.0,50,51,11.79,broken clouds
143,Olafsvik,IS,64.8945,-23.7142,33.33,92,98,18.01,overcast clouds
144,Teya,RU,60.3778,92.6267,-6.38,88,100,3.98,overcast clouds
145,New Norfolk,AU,-42.7826,147.0587,61.0,75,100,7.0,overcast clouds
146,Flinders,AU,-34.5833,150.8552,62.6,77,75,4.61,broken clouds
147,Katsuura,JP,35.1333,140.3,39.99,65,0,8.05,clear sky
148,Cairns,AU,-16.9167,145.7667,75.2,94,40,13.8,light rain
149,Castro,BR,-24.7911,-50.0119,70.36,91,96,13.02,overcast clouds
150,Hami,CN,42.8,93.45,15.4,75,0,1.25,clear sky
151,Bathsheba,BB,13.2167,-59.5167,78.8,78,75,21.85,broken clouds
152,Ahipara,NZ,-35.1667,173.1667,64.08,85,16,12.03,few clouds
153,Port Macquarie,AU,-31.4333,152.9167,62.01,93,89,3.85,overcast clouds
154,Omsukchan,RU,62.5333,155.8,-35.57,80,100,7.47,overcast clouds
155,Hobyo,SO,5.3505,48.5268,76.87,75,0,15.43,clear sky
156,Lamu,KE,-2.2717,40.902,80.6,78,1,9.22,clear sky
157,Hasaki,JP,35.7333,140.8333,34.0,86,75,5.75,broken clouds
158,Klaksvik,FO,62.2266,-6.589,39.2,93,75,9.22,light rain
159,Luderitz,NA,-26.6481,15.1594,67.32,70,19,15.82,few clouds
160,College,US,64.8569,-147.8028,10.4,72,90,2.17,overcast clouds
161,Fernandez,AR,-27.9204,-63.8935,84.99,42,4,8.99,clear sky
162,Blenheim,NZ,-41.516,173.9528,61.0,65,2,10.07,clear sky
163,Chumikan,RU,54.7183,135.315,-20.9,77,90,8.23,overcast clouds
164,Kemijarvi,FI,66.7131,27.4306,11.34,95,77,4.68,broken clouds
165,Zykovo,RU,55.9519,93.1461,23.0,74,75,17.9,snow
166,Salalah,OM,17.0151,54.0924,73.4,49,0,4.61,clear sky
167,Rurrenabaque,BO,-14.4413,-67.5278,87.8,74,75,8.05,light rain
168,Obidos,BR,-1.9175,-55.5181,93.16,47,38,2.04,scattered clouds
